koi_fpflag_ss,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
0,0,4.2,132.5,0.5,2.3,100,1.5,300,1.0,15,1,5500,4.5,1.0,285.0,45.0,14.0
0,0,8.5,145.2,0.3,3.1,250,2.1,450,2.5,25,1,5800,4.4,1.1,290.5,42.3,13.5
0,0,12.3,167.8,0.7,4.5,180,1.8,380,1.8,20,1,5600,4.3,1.05,288.2,44.1,13.8
1,0,2.1,98.4,0.9,1.2,50,0.8,800,8.5,8,1,6200,4.6,0.95,292.1,46.5,15.2
0,0,15.7,201.3,0.4,5.2,320,2.8,520,3.2,35,1,5900,4.2,1.2,286.7,43.8,12.9
0,0,6.8,156.9,0.6,2.8,150,1.7,340,1.5,18,1,5550,4.5,1.02,289.4,44.9,14.3
1,1,1.5,89.2,0.95,0.8,30,0.6,1200,15.0,5,1,6500,4.7,0.9,294.8,47.2,15.8
0,0,22.4,234.5,0.35,6.8,420,3.5,600,4.5,45,1,6100,4.1,1.3,287.9,42.5,12.1
0,0,9.7,178.6,0.55,3.6,200,2.0,410,2.1,22,1,5700,4.4,1.08,291.2,45.6,13.7
0,0,11.2,189.3,0.65,4.1,175,1.9,360,1.9,19,1,5650,4.35,1.04,288.8,44.4,14.1
0,0,18.9,217.8,0.42,5.9,380,3.2,550,3.8,40,1,6000,4.15,1.25,286.3,43.2,12.5
1,0,3.4,112.7,0.85,1.6,65,0.9,750,7.2,9,1,6100,4.55,0.98,293.5,46.8,15.0
0,0,7.6,163.4,0.58,3.2,165,1.75,365,1.7,21,1,5620,4.45,1.03,290.1,45.2,14.0
0,0,14.3,198.7,0.48,4.9,295,2.6,485,2.9,32,1,5850,4.25,1.15,287.6,43.5,13.2
0,0,5.9,151.2,0.62,2.6,135,1.6,325,1.4,17,1,5530,4.48,1.01,289.8,45.0,14.4
1,0,1.8,95.3,0.92,0.95,42,0.75,950,11.5,6,1,6350,4.65,0.92,294.2,47.0,15.5
0,0,25.7,249.1,0.32,7.5,485,4.1,680,5.2,52,1,6200,4.05,1.35,285.9,42.1,11.8
0,0,10.4,184.9,0.52,3.9,215,2.15,430,2.3,24,1,5750,4.38,1.1,290.7,45.4,13.6
0,0,13.1,194.2,0.46,4.6,270,2.45,465,2.7,30,1,5820,4.28,1.12,287.3,43.7,13.3
0,0,8.2,170.5,0.56,3.4,190,1.95,395,2.0,23,1,5680,4.42,1.06,290.4,45.3,13.9

